Sección	Palabra/Frase	Detalles
Expresiones Condicionales	Por si	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Just in case, if by any chance<br><br>• <b>Construcción</b>: ""Por si"" + indicativo (presente/futuro/imperfecto)<br><br>• <b>Ejemplos</b>:<br> - <b>""Por si quieres venir"" (In case you want to come)<br> - <i>""Por si llueve""</i> (In case it rains)<br> - <i>""Te lo digo por si te interesa""</i> (I'm telling you in case you're interested)<br><br>• Funciones</b>:<br> - <b>Prevención</b>: ""Lleva paraguas por si llueve""<br> - <b>Ofrecimiento indirecto</b>: ""Te lo comento por si quieres participar""<br> - <b>Duda educada</b>: ""Por si no lo sabías, mañana es feriado""<br><br>• <b>Combinaciones</b>:<br> - <i>""Por si acaso""</i> (just in case) - Forma enfática<br> - <i>""Por si las dudas""</i> (just to be sure) - Expresión de precaución</div>"
Expresiones de Posibilidad	Tal vez	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Maybe, perhaps<br><br>• <b>Ejemplos</b>:<br> - <b>""Tal vez una semana, tal vez un mes"" (Maybe a week, maybe a month)<br> - <i>""Tal vez venga mañana""</i> (Perhaps I'll come tomorrow)<br><br>• Construcciones gramaticales</b>:<br> - <b>Con indicativo</b>: ""Tal vez viene"" (mayor probabilidad)<br> - <b>Con subjuntivo</b>: ""Tal vez venga"" (menor probabilidad)<br> - <b>En respuestas</b>: ""¿Vendrás? - <b>Tal vez"" (Will you come? - Maybe)<br><br>• Uso en combinaciones</b>:<br> - <b>Repetición enfática</b>: ""Tal vez sí, tal vez no"" (Maybe yes, maybe no)<br> - <b>Con ""o""</b>: ""Tal vez hoy o tal vez mañana"" (Maybe today or maybe tomorrow)</div>"
Expresiones de Posibilidad	Comparación entre expresiones de posibilidad	"<div style=""text-align: left; width: 100%;"">• <b>Tal vez</b>:<br> - <b>Formalidad</b>: Neutro<br> - <b>Probabilidad</b>: Media<br> - <b>Ejemplo</b>: ""Tal vez llueva mañana""<br><br>• <b>Quizás</b>:<br> - <b>Formalidad</b>: Neutro-Formal<br> - <b>Probabilidad</b>: Media<br> - <b>Ejemplo</b>: ""Quizás tengamos tiempo""<br><br>• <b>A lo mejor</b>:<br> - <b>Formalidad</b>: Coloquial<br> - <b>Probabilidad</b>: Media-Alta<br> - <b>Ejemplo</b>: ""A lo mejor nos vemos""<br><br>• <b>Puede que</b>:<br> - <b>Formalidad</b>: Neutro<br> - <b>Probabilidad</b>: Media-Baja<br> - <b>Ejemplo</b>: ""Puede que llegue tarde""<br><br>• <b>Posiblemente</b>:<br> - <b>Formalidad</b>: Formal<br> - <b>Probabilidad</b>: Media<br> - <b>Ejemplo</b>: ""Posiblemente necesitemos más recursos""<br><br>• <b>Probablemente</b>:<br> - <b>Formalidad</b>: Formal<br> - <b>Probabilidad</b>: Alta<br> - <b>Ejemplo</b>: ""Probablemente asista a la reunión""</div>"
Expresiones Temporales	Una vez	"<div style=""text-align: left; width: 100%;"">• <b>Como expresión temporal</b>:<br> - <b>Significado</b>: Once, when<br> - <b>Ejemplo</b>: ""Una vez terminado el trabajo, podremos descansar"" (Once the work is done, we can rest)<br> - <b>Estructura</b>: ""Una vez"" + participio/que + verbo<br><br>• <b>Como expresión de condición cumplida</b>:<br> - <b>Significado</b>: Once, after (condición previa)<br> - <b>Ejemplo</b>: ""Una vez que lo pruebas, no puedes dejarlo"" (Once you try it, you can't stop)<br> - <b>Implicación</b>: Secuencia lógica o causal<br><br>• <b>Usos específicos</b>:<br> - <b>Inicio de proceso</b>: ""Una vez iniciado el procedimiento, no se puede interrumpir""<br> - <b>Marco temporal</b>: ""Una vez en París, visitaremos la Torre Eiffel""<br> - <b>Frecuencia pasada</b>: ""Una vez fui a Japón"" (I went to Japan once)</div>"
Conjunciones Adversativas	Sino que	"<div style=""text-align: left; width: 100%;"">• <b>Estructura</b>: Negación + ""sino que"" + afirmación alternativa<br><br>• <b>Función</b>: No solo niega lo anterior, sino que introduce una alternativa<br><br>• <b>Ejemplos</b>:<br> - <b>""No es azul, sino que es verde"" (It's not blue, but rather green)<br> - <i>""No solo es inteligente, sino que, además, es muy trabajador""</i> (Not only is he intelligent, but also hardworking)<br><br>• Diferencia con ""sino"" simple</b>:<br> - <b>""Sino"" (sin ""que"")</b>: Para contrastes directos - <b>""No quiero té sino café""<br> - <i>""Sino que""</i></b>: Para oraciones con verbo conjugado - <b>""No llegó tarde sino que no vino""<br><br>• Traducción</b>: But rather, but instead</div>"
Expresiones Correctivas	Más bien	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Rather, instead<br><br>• <b>Función</b>: Introducir una matización o corrección sutil<br><br>• <b>Ejemplos</b>:<br> - <b>""No es triste, más bien es melancólico"" (It's not sad, rather melancholic)<br> - <i>""No me gusta el frío, más bien prefiero el calor""</i> (I don't like cold, I rather prefer heat)<br><br>• Matices</b>:<br> - <b>Corrección suave</b>: No contradice completamente sino que ajusta<br> - <b>Gradación</b>: A menudo indica un grado o matiz distinto pero similar<br> - <b>Reformulación</b>: Permite replantear lo dicho de forma más precisa<br><br>• <b>Traducción</b>: Rather, instead</div>"
Expresiones Causales	Afecta el modo en que	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Affects the way in which<br><br>• <b>Función</b>: Describir influencia o impacto en procesos o percepciones<br><br>• <b>Ejemplos</b>:<br> - <b>""La luz afecta el modo en que percibimos los colores"" (Light affects the way we perceive colors)<br> - <i>""La educación afecta el modo en que interactuamos socialmente""</i> (Education affects the way we interact socially)<br><br>• Variantes gramaticales</b>:<br> - <i>""Afecta la manera en que...""</i> (más frecuente en Latinoamérica)<br> - <i>""Afecta a la forma en que...""</i> (más común en España)<br> - <i>""Afecta cómo...""</i> (versión simplificada)</div>"
Expresiones de Deseo	A veces quisiera...	"<div style=""text-align: left; width: 100%;"">• <b>Estructura</b>: ""A veces quisiera"" + infinitivo<br><br>• <b>Tiempo verbal</b>: Condicional simple (quisiera)<br><br>• <b>Significado</b>: Sometimes I wish I could...<br><br>• <b>Ejemplos</b>:<br> - <b>""A veces quisiera dejar todo"" (Sometimes I wish I could leave everything)<br> - <i>""A veces quisiera quedarme en casa""</i> (Sometimes I wish I could stay home)<br><br>• Matices emocionales</b>:<br> - <b>Nostalgia</b>: ""A veces quisiera volver a mi infancia""<br> - <b>Frustración contenida</b>: ""A veces quisiera decirle lo que pienso""<br> - <b>Anhelo</b>: ""A veces quisiera vivir en otro país""<br><br>• <b>Variantes</b>:<br> - <i>""Hay veces que quisiera...""</i> (más enfático)<br> - <i>""A veces me gustaría...""</i> (menos intenso)</div>"
Expresiones de Deseo	Me quiero...	"<div style=""text-align: left; width: 100%;"">• <b>Estructura reflexiva</b>: Me + quiero + infinitivo<br><br>• <b>Significado</b>: I want to... (con matiz reflexivo/personal)<br><br>• <b>Ejemplos</b>:<br> - <b>""Me quiero quedar un rato más"" (I want to stay a bit longer)<br> - <i>""Me quiero salir de este proyecto""</i> (I want to leave this project)<br> - <i>""Me quiero ir ya""</i> (I want to go now)<br><br>• Comparación</b>:<br> - <b>""Quiero quedarme"" vs. ""Me quiero quedar""</b>: La segunda añade énfasis personal<br> - <b>Orden de palabras</b>: ""Me quiero + infinitivo"" (Latinoamérica) vs. ""Quiero + infinitivo + me"" (España)</div>"
Expresiones de Cercanía	Te tengo aquí	"<div style=""text-align: left; width: 100%;"">• <b>Significado literal</b>: I have you here<br><br>• <b>Sentido figurado</b>: Expresión de cercanía emocional (señalando corazón/cabeza)<br><br>• <b>Contextos</b>:<br> - <b>Relaciones románticas</b>: ""Siempre te tengo aquí"" (señalando el corazón)<br> - <b>Recuerdo de seres queridos</b>: ""Te tengo aquí conmigo aunque estés lejos""<br> - <b>Amistad</b>: ""Te tengo aquí"" (indicando aprecio y pensamiento constante)<br><br>• <b>Traducción</b>: I keep you in my heart/mind</div>"
Expresiones de Exclusividad	En [un lugar] los dos	"<div style=""text-align: left; width: 100%;"">• <b>Estructura</b>: Preposición + lugar + ""los dos""<br><br>• <b>Ejemplos</b>:<br> - <b>""En París los dos"" (In Paris, the two of us)<br> - <i>""En casa los dos, sin nadie más""</i><br> - <i>""Imagínanos en la playa los dos""</i><br><br>• Connotaciones</b>:<br> - <b>Intimidad compartida<br> - Exclusividad de la experiencia<br> - Complicidad<br> - Proyección de escenarios románticos<br><br>• Traducción</b>: The two of us in [place]</div>"
Expresiones Románticas	Te vuelve a ver	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: To see you again<br><br>• <b>Uso</b>: Principalmente en narrativas románticas o nostálgicas<br><br>• <b>Ejemplos</b>:<br> - <b>""Mi corazón se alegra cuando te vuelve a ver""<br> - <i>""Espero que el destino nos vuelva a ver juntos""</i><br><br>• Características</b>:<br> - <b>Mayor carga poética que ""verte de nuevo""<br> - Común en letras de canciones y poesía<br> - Implica cierta inevitabilidad o destino<br><br>• Traducción</b>: To see you again (poetic)</div>"
Expresiones de Afecto	Caerse a besos	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: To shower with kisses, to kiss passionately<br><br>• <b>Estructura</b>: Verbo reflexivo ""caerse"" + preposición ""a"" + sustantivo ""besos""<br><br>• <b>Ejemplos</b>:<br> - <b>""Se cayeron a besos en cuanto se vieron""<br> - <i>""No podía dejar de caerse a besos con él""</i><br><br>• Registro</b>: Coloquial, expresivo<br><br>• <b>Visualización</b>: Imagen hiperbólica de abundancia e intensidad<br><br>• <b>Estructura similar</b>:<br> - <i>""Caerse a golpes""</i> (To beat each other up severely)<br> - <i>""Caerse a carcajadas""</i> (To laugh uncontrollably)</div>"
Expresiones de Autoestima	Amor propio	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Self-love, self-respect, self-esteem<br><br>• <b>Contextos</b>:<br> - <b>Desarrollo personal</b>: ""Cultivar el amor propio""<br> - <b>Psicología</b>: ""El amor propio es fundamental para relaciones sanas""<br> - <b>Consejos</b>: ""Hay que tener amor propio y establecer límites""<br><br>• <b>Matices conceptuales</b>:<br> - <b>Más holístico que ""autoestima"" (incluye aceptación y cuidado)<br> - Implica valoración pero también protección de uno mismo<br><br>• Expresiones relacionadas</b>:<br> - <i>""Quererse a uno mismo""</i> - Más directo, proceso activo<br> - <i>""Valorarse""</i> - Reconocimiento del propio valor<br> - <i>""Respetarse""</i> - Énfasis en dignidad y límites</div>"
Expresiones de Resistencia	A pesar de los pesares	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Despite everything, despite all troubles<br><br>• <b>Estructura</b>: Preposición ""a pesar de"" + sustantivación ""los pesares""<br><br>• <b>Ejemplos</b>:<br> - <b>""Aunque a veces duela tanto y a pesar de los pesares, seguimos adelante""<br> - <i>""A pesar de los pesares, la vida nos sonríe de vez en cuando""</i><br><br>• Análisis lingüístico</b>:<br> - <b>""Pesares""</b>: Sustantivación plural de ""pesar"" (sorrow, grief)<br> - <b>Reduplicación enfática</b>: ""a pesar de"" + derivado de ""pesar""<br><br>• <b>Expresiones similares</b>:<br> - <i>""Contra viento y marea""</i> - Enfatiza la lucha activa<br> - <i>""Pese a todo""</i> - Más simple y directo</div>"
Estados Emocionales	Amargo vs. Amargado	"<div style=""text-align: left; width: 100%;"">• <b>Amargo</b>:<br> - <b>Significado principal</b>: Sabor literal (bitter taste)<br> - <b>Uso adjetivo</b>: ""Un café amargo"", ""chocolate amargo""<br> - <b>Sentido figurado</b>: ""Una victoria amarga"" (agridulce)<br><br>• <b>Amargado</b>:<br> - <b>Significado principal</b>: Estado emocional negativo (bitter person)<br> - <b>Participio de ""amargar(se)""</b>: ""Está amargado por el fracaso""<br> - <b>Caracterización de personalidad</b>: ""Es un amargado, siempre se queja""</div>"
Expresiones Emocionales	La vivo/La paso amargado	"<div style=""text-align: left; width: 100%;"">• <b>Estructura</b>: ""La"" (vida, implícito) + ""vivo/paso"" + ""amargado""<br><br>• <b>Significado</b>: I'm living life feeling bitter<br><br>• <b>Contextos</b>:<br> - <b>Queja sobre situación actual</b>: ""La paso amargado en ese trabajo""<br> - <b>Reflexión sobre estado emocional</b>: ""¿Por qué la vivo amargado?""<br><br>• <b>Uso regional</b>:<br> - <b>""La paso + adjetivo""</b>: Más común en Cono Sur y Andes<br> - <b>""La vivo + adjetivo""</b>: Más general en habla hispana<br> - <b>""Me la paso + gerundio""</b>: México, Centroamérica (""Me la paso sufriendo"")<br><br>• <b>Traducción</b>: I spend my life feeling bitter</div>"
Jerga Digital	Subir historias	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: To post stories (en redes sociales)<br><br>• <b>Contexto</b>: Instagram, Facebook, Snapchat, WhatsApp<br><br>• <b>Ejemplos</b>:<br> - <b>""Voy a subir historias de la fiesta""<br> - <i>""Siempre sube historias de sus viajes""</i><br> - <i>""¿Has visto las historias que subí ayer?""</i><br><br>• Extensiones</b>:<br> - <b>""Subir contenido"" - Más general<br> - <i>""Subir un post""</i> - Publicación permanente<br> - <i>""Subir un reel/video""</i> - Contenido en formato específico<br><br>• Traducción</b>: To post stories</div>"
Expresiones Digitales	Borrarme por la lista	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: To remove me from the list<br><br>• <b>Contexto</b>: Solicitud de eliminación de registro o suscripción<br><br>• <b>Análisis sintáctico</b>:<br> - <b>Uso inusual de la preposición ""por"" (lo estándar sería ""de"")<br> - Posible calco de otras estructuras o influencia regional<br><br>• Expresiones estándar</b>:<br> - <b>""Borrarme de la lista"" (más correcto)<br> - <i>""Eliminarme de la lista""</i><br> - <i>""Darme de baja""</i><br><br>• Contextos de uso</b>: Correo electrónico, mensajería, grupos<br><br>• <b>Traducción</b>: To remove me from the list</div>"
Frutas Tropicales	Plátano dulce	"<div style=""text-align: left; width: 100%;"">• <b>Nombres regionales</b>:<br> - <b>Venezuela</b>: Cambur<br> - <b>Colombia</b>: Banano<br> - <b>España</b>: Banana/Plátano<br> - <b>México</b>: Plátano<br> - <b>Caribe</b>: Guineo<br><br>• <b>Características</b>: Amarillo, dulce, para comer fresco</div>"
Frutas Tropicales	Plátano para cocinar	"<div style=""text-align: left; width: 100%;"">• <b>Nombres regionales</b>:<br> - <b>Venezuela</b>: Plátano/Topocho<br> - <b>Colombia</b>: Plátano<br> - <b>España</b>: Plátano macho<br> - <b>México</b>: Plátano macho<br> - <b>Caribe</b>: Plátano<br><br>• <b>Características</b>: Verde, para cocinar, menos dulce</div>"
Frutas Tropicales	Maracuyá	"<div style=""text-align: left; width: 100%;"">• <b>Nombres regionales</b>:<br> - <b>Venezuela</b>: Parchita<br> - <b>Colombia</b>: Maracuyá/Curuba<br> - <b>España</b>: Fruta de la pasión<br> - <b>México</b>: Maracuyá<br> - <b>Caribe</b>: Parcha<br><br>• <b>Características</b>: Ácida, cáscara dura púrpura o amarilla</div>"
Frutas Tropicales	Papaya	"<div style=""text-align: left; width: 100%;"">• <b>Nombres regionales</b>:<br> - <b>Venezuela</b>: Lechosa<br> - <b>Colombia</b>: Papaya<br> - <b>España</b>: Papaya<br> - <b>México</b>: Papaya<br> - <b>Caribe</b>: Fruta bomba (Cuba)<br><br>• <b>Características</b>: Naranja, pulpa suave, digestiva</div>"
Frutas Tropicales	Guayaba	"<div style=""text-align: left; width: 100%;"">• <b>Nombres regionales</b>: Mismo nombre en todas las regiones<br><br>• <b>Características</b>: Aromática, pulpa rosada o blanca</div>"
Frutas Tropicales	Aguacate	"<div style=""text-align: left; width: 100%;"">• <b>Nombres regionales</b>:<br> - <b>Generalmente</b>: Aguacate<br> - <b>En partes de Sudamérica</b>: Palta<br><br>• <b>Características</b>: Verde, cremoso, usado en ensaladas</div>"
Frutas Tropicales	Piña	"<div style=""text-align: left; width: 100%;"">• <b>Nombres regionales</b>: Mismo nombre en todas las regiones<br><br>• <b>Características</b>: Dulce-ácida, corona de hojas</div>"
Frutas Tropicales	Mango	"<div style=""text-align: left; width: 100%;"">• <b>Nombres regionales</b>: Mismo nombre en todas las regiones<br><br>• <b>Características</b>: Dulce, fibroso, amarillo-naranja</div>"
Partes de Coches	Neumático	"<div style=""text-align: left; width: 100%;"">• <b>Variaciones regionales</b>:<br> - <b>España</b>: Neumático<br> - <b>México</b>: Llanta<br> - <b>Argentina</b>: Goma/Cubierta<br> - <b>Venezuela</b>: Caucho<br> - <b>Colombia</b>: Llanta<br> - <b>Chile</b>: Neumático<br><br>• <b>Traducción al inglés</b>: Tire</div>"
Partes de Coches	Llanta metálica	"<div style=""text-align: left; width: 100%;"">• <b>Variaciones regionales</b>:<br> - <b>España</b>: Llanta<br> - <b>México</b>: Rin<br> - <b>Argentina</b>: Llanta<br> - <b>Venezuela</b>: Rin<br> - <b>Colombia</b>: Rin<br> - <b>Chile</b>: Llanta<br><br>• <b>Traducción al inglés</b>: Rim</div>"
Partes de Coches	Maletero	"<div style=""text-align: left; width: 100%;"">• <b>Variaciones regionales</b>:<br> - <b>España</b>: Maletero<br> - <b>México</b>: Cajuela<br> - <b>Argentina</b>: Baúl<br> - <b>Venezuela</b>: Maleta<br> - <b>Colombia</b>: Baúl<br> - <b>Chile</b>: Maleta<br><br>• <b>Traducción al inglés</b>: Trunk</div>"
Partes de Coches	Capó	"<div style=""text-align: left; width: 100%;"">• <b>Variaciones regionales</b>:<br> - <b>España</b>: Capó<br> - <b>México</b>: Cofre<br> - <b>Argentina</b>: Capó<br> - <b>Venezuela</b>: Capó<br> - <b>Colombia</b>: Capó<br> - <b>Chile</b>: Capó<br><br>• <b>Traducción al inglés</b>: Hood</div>"
Partes de Coches	Parabrisas	"<div style=""text-align: left; width: 100%;"">• <b>Variaciones regionales</b>:<br> - <b>España</b>: Parabrisas<br> - <b>México</b>: Parabrisas<br> - <b>Argentina</b>: Parabrisas<br> - <b>Venezuela</b>: Parabrisas<br> - <b>Colombia</b>: Panorámico<br> - <b>Chile</b>: Parabrisas<br><br>• <b>Traducción al inglés</b>: Windshield</div>"
Partes de Coches	Volante	"<div style=""text-align: left; width: 100%;"">• <b>Variaciones regionales</b>:<br> - <b>España</b>: Volante<br> - <b>México</b>: Volante<br> - <b>Argentina</b>: Volante<br> - <b>Venezuela</b>: Volante<br> - <b>Colombia</b>: Timón<br> - <b>Chile</b>: Manubrio<br><br>• <b>Traducción al inglés</b>: Steering wheel</div>"
Partes de Coches	Intermitentes	"<div style=""text-align: left; width: 100%;"">• <b>Variaciones regionales</b>:<br> - <b>España</b>: Intermitentes<br> - <b>México</b>: Direccionales<br> - <b>Argentina</b>: Guiños<br> - <b>Venezuela</b>: Luces<br> - <b>Colombia</b>: Direccionales<br> - <b>Chile</b>: Intermitentes<br><br>• <b>Traducción al inglés</b>: Turn signals</div>"
Partes de Coches	Guardabarros	"<div style=""text-align: left; width: 100%;"">• <b>Variaciones regionales</b>:<br> - <b>España</b>: Guardabarros<br> - <b>México</b>: Salpicaderas<br> - <b>Argentina</b>: Guardabarros<br> - <b>Venezuela</b>: Guardafango<br> - <b>Colombia</b>: Guardabarros<br> - <b>Chile</b>: Tapabarros<br><br>• <b>Traducción al inglés</b>: Fender</div>"
Partes de Coches	Tubo de escape	"<div style=""text-align: left; width: 100%;"">• <b>Variaciones regionales</b>:<br> - <b>España</b>: Tubo de escape<br> - <b>México</b>: Escape<br> - <b>Argentina</b>: Caño de escape<br> - <b>Venezuela</b>: Tubo de escape<br> - <b>Colombia</b>: Exosto<br> - <b>Chile</b>: Tubo de escape<br><br>• <b>Traducción al inglés</b>: Exhaust pipe</div>"
Partes de Coches	Asiento trasero	"<div style=""text-align: left; width: 100%;"">• <b>Variaciones regionales</b>:<br> - <b>España</b>: Asiento trasero<br> - <b>México</b>: Asiento trasero<br> - <b>Argentina</b>: Asiento trasero<br> - <b>Venezuela</b>: Puesto trasero<br> - <b>Colombia</b>: Silla trasera<br> - <b>Chile</b>: Asiento trasero<br><br>• <b>Traducción al inglés</b>: Back seat</div>"
Plátano Frito	Patacones	"<div style=""text-align: left; width: 100%;"">• <b>Región</b>: Colombia, Venezuela, Panamá<br><br>• <b>Tipo de plátano</b>: Verde<br><br>• <b>Preparación</b>: Frito, aplastado y vuelto a freír<br><br>• <b>Características</b>: Gruesos, crujientes, salados</div>"
Plátano Frito	Tostones	"<div style=""text-align: left; width: 100%;"">• <b>Región</b>: Puerto Rico, Rep. Dominicana, Cuba<br><br>• <b>Tipo de plátano</b>: Verde<br><br>• <b>Preparación</b>: Frito, aplastado y vuelto a freír<br><br>• <b>Características</b>: Similar a patacones</div>"
Plátano Frito	Tajadas	"<div style=""text-align: left; width: 100%;"">• <b>Región</b>: Venezuela, Colombia<br><br>• <b>Tipo de plátano</b>: Maduro<br><br>• <b>Preparación</b>: Corte diagonal, frito una vez<br><br>• <b>Características</b>: Dulces, caramelizadas</div>"
Plátano Frito	Maduros	"<div style=""text-align: left; width: 100%;"">• <b>Región</b>: Cuba, Colombia<br><br>• <b>Tipo de plátano</b>: Maduro<br><br>• <b>Preparación</b>: Corte longitudinal, frito<br><br>• <b>Características</b>: Dulces, blandos</div>"
Plátano Frito	Chifles	"<div style=""text-align: left; width: 100%;"">• <b>Región</b>: Ecuador, Perú<br><br>• <b>Tipo de plátano</b>: Verde<br><br>• <b>Preparación</b>: Rebanadas finas, fritas<br><br>• <b>Características</b>: Muy crujientes, tipo chips</div>"
Plátano Frito	Platanitos	"<div style=""text-align: left; width: 100%;"">• <b>Región</b>: México, Guatemala<br><br>• <b>Tipo de plátano</b>: Verde<br><br>• <b>Preparación</b>: Rebanadas finas, fritas<br><br>• <b>Características</b>: Similar a chifles</div>"
Plátano Frito	Tentaciones	"<div style=""text-align: left; width: 100%;"">• <b>Región</b>: Colombia<br><br>• <b>Tipo de plátano</b>: Maduro<br><br>• <b>Preparación</b>: Maduros cortados, azucarados<br><br>• <b>Características</b>: Muy dulces, postre</div>"
Plátano Frito	Mariquitas	"<div style=""text-align: left; width: 100%;"">• <b>Región</b>: Cuba<br><br>• <b>Tipo de plátano</b>: Verde<br><br>• <b>Preparación</b>: Rebanadas muy finas<br><br>• <b>Características</b>: Extremadamente crujientes</div>"
Plátano Frito	Plátano en tentación	"<div style=""text-align: left; width: 100%;"">• <b>Región</b>: Colombia<br><br>• <b>Tipo de plátano</b>: Maduro<br><br>• <b>Preparación</b>: Cocinado con azúcar y canela<br><br>• <b>Características</b>: Dulce, meloso</div>"
Plátano Frito	Platanitos en miel	"<div style=""text-align: left; width: 100%;"">• <b>Región</b>: Venezuela<br><br>• <b>Tipo de plátano</b>: Maduro<br><br>• <b>Preparación</b>: Fritos y bañados en miel<br><br>• <b>Características</b>: Postre dulce</div>"
Objetos Corredizos	Ventanas corredizas	"<div style=""text-align: left; width: 100%;"">• <b>Características</b>: Se deslizan horizontalmente<br><br>• <b>Ventajas</b>: Ahorro de espacio, ventilación parcial<br><br>• <b>Desventajas</b>: Menor aislamiento<br><br>• <b>Contextos de uso</b>: Apartamentos, oficinas<br><br>• <b>Traducción</b>: Sliding windows</div>"
Objetos Corredizos	Puertas corredizas	"<div style=""text-align: left; width: 100%;"">• <b>Características</b>: Se deslizan lateralmente sin abrir hacia fuera<br><br>• <b>Ventajas</b>: No requieren espacio para abrir<br><br>• <b>Desventajas</b>: Carriles pueden acumular suciedad<br><br>• <b>Contextos de uso</b>: Armarios, separación de ambientes<br><br>• <b>Traducción</b>: Sliding doors</div>"
Objetos Corredizos	Puertas de ducha corredizas	"<div style=""text-align: left; width: 100%;"">• <b>Características</b>: Se deslizan para permitir acceso<br><br>• <b>Ventajas</b>: Ideal para baños pequeños<br><br>• <b>Desventajas</b>: Más difíciles de limpiar<br><br>• <b>Contextos de uso</b>: Baños reducidos<br><br>• <b>Traducción</b>: Sliding shower doors</div>"
Objetos Corredizos	Cajones corredizos	"<div style=""text-align: left; width: 100%;"">• <b>Características</b>: Se abren deslizándose hacia fuera<br><br>• <b>Ventajas</b>: Organización y acceso fácil<br><br>• <b>Desventajas</b>: Pueden descarrilarse<br><br>• <b>Contextos de uso</b>: Cocinas, mobiliario<br><br>• <b>Traducción</b>: Sliding drawers</div>"
Objetos Corredizos	Mesas corredizas/extensibles	"<div style=""text-align: left; width: 100%;"">• <b>Características</b>: Se extienden deslizando partes<br><br>• <b>Ventajas</b>: Adaptables según necesidad<br><br>• <b>Desventajas</b>: Mecanismos complejos<br><br>• <b>Contextos de uso</b>: Comedores, espacios multiusos<br><br>• <b>Traducción</b>: Extendable tables, sliding tables</div>"
Términos de Piloto	Piloto (contexto técnico)	"<div style=""text-align: left; width: 100%;"">• <b>Contextos profesionales</b>:<br> - <b>Aviación</b>: ""Piloto de aerolínea""<br> - <b>Automovilismo</b>: ""Piloto de Fórmula 1""<br> - <b>Náutica</b>: ""Piloto de embarcación""<br> - <b>TV/Radio</b>: ""Piloto de programas""<br><br>• <b>Traducción</b>: Pilot</div>"
Términos de Piloto	Piloto (contexto cotidiano)	"<div style=""text-align: left; width: 100%;"">• <b>Usos cotidianos</b>:<br> - <b>""Ser el piloto en un viaje por carretera"" (conductor)<br> - <i>""Dejar que otro sea el piloto""</i> (conductor)<br> - <i>""¿Quién pilota esta vez?""</i> (conducir)<br><br>• Expresiones relacionadas</b>:<br> - <i>""Piloto automático""</i><br> - <i>""Programa piloto""</i> (experimental)<br> - <i>""Episodio piloto""</i> (TV)<br> - <i>""Fase piloto""</i> (prueba)</div>"
Términos de Piloto	Piloto (metáforas)	"<div style=""text-align: left; width: 100%;"">• <b>Expresiones metafóricas</b>:<br> - <i>""Ser el piloto de tu vida""</i> (tener control)<br> - <i>""Pilotear un proyecto""</i> (dirigir)<br> - <i>""Pilotear en aguas turbulentas""</i> (manejar dificultades)</div>"
Términos de Piloto	Copiloto (contexto técnico)	"<div style=""text-align: left; width: 100%;"">• <b>Contextos profesionales</b>:<br> - <b>Aviación</b>: ""Copiloto del vuelo""<br> - <b>Automovilismo</b>: ""Copiloto de rally""<br><br>• <b>Traducción</b>: Co-pilot</div>"
Términos de Piloto	Copiloto (contexto cotidiano)	"<div style=""text-align: left; width: 100%;"">• <b>Usos cotidianos</b>:<br> - <b>""Ser el copiloto"" (navegador en coche)<br> - <i>""El copiloto lee el mapa""</i><br> - <i>""El asiento del copiloto""</i><br><br>• Expresiones relacionadas</b>:<br> - <i>""Actuar como copiloto""</i> (asistente)</div>"
Términos de Piloto	Copiloto (metáforas)	"<div style=""text-align: left; width: 100%;"">• <b>Expresiones metafóricas</b>:<br> - <i>""Ser copiloto en vez de piloto""</i> (rol secundario)<br> - <i>""Mi pareja es mi copiloto en la vida""</i><br> - <i>""Copilotear en las decisiones""</i> (apoyar)</div>"
Tipos de Bañeras	Bañera empotrada	"<div style=""text-align: left; width: 100%;"">• <b>Características</b>: Instalada contra paredes<br><br>• <b>Ventajas</b>: Maximiza espacio, común<br><br>• <b>Usos específicos</b>: Uso familiar, estándar<br><br>• <b>Materiales comunes</b>: Acrílico, fibra de vidrio<br><br>• <b>Traducción</b>: Built-in bathtub</div>"
Tipos de Bañeras	Bañera exenta	"<div style=""text-align: left; width: 100%;"">• <b>Características</b>: Independiente, separada de paredes<br><br>• <b>Ventajas</b>: Elegante, punto focal decorativo<br><br>• <b>Usos específicos</b>: Baños espaciosos, lujo<br><br>• <b>Materiales comunes</b>: Hierro fundido, acrílico, piedra<br><br>• <b>Traducción</b>: Freestanding bathtub</div>"
Tipos de Bañeras	Bañera con patas	"<div style=""text-align: left; width: 100%;"">• <b>Características</b>: Estilo clásico, elevada sobre patas<br><br>• <b>Ventajas</b>: Estética vintage, carácter<br><br>• <b>Usos específicos</b>: Decoración retro, baños clásicos<br><br>• <b>Materiales comunes</b>: Hierro fundido esmaltado<br><br>• <b>Traducción</b>: Clawfoot bathtub</div>"
