Sección,Palabra/Frase,Detalles
Expresiones de Contraposición,Al revés,"• Significados:<br> - Posición invertida: ""La camiseta está al revés"" (The shirt is inside out)<br> - Orden inverso: ""Lo hiciste al revés"" (You did it the other way around)<br> - Contraposición lógica: ""No es él quien debe disculparse, sino al revés"" (It's not him who should apologize, but the other way around)<br>• Traducción: The other way around, upside down, inside out<br>• Expresiones relacionadas:<br> - ""Viceversa"" - Más formal<br> - ""A la inversa"" - Más técnico<br> - ""Todo lo contrario"" - Más enfático"
Expresiones Direccionales,Por dónde empezar vs. Dónde empezamos,"• ""Por dónde empezar"":<br> - Estructura: ""Por"" + ""dónde"" + infinitivo<br> - Significado: Where to start (indecisión sobre punto de inicio)<br> - Uso: Frecuentemente retórico, implica confusión<br> - Ejemplo: ""No sé por dónde empezar, hay tanto que hacer""<br>• ""Dónde empezamos"":<br> - Estructura: ""Dónde"" + verbo conjugado<br> - Significado: Where do we start (búsqueda de punto concreto)<br> - Uso: Pregunta práctica, busca respuesta concreta<br> - Ejemplo: ""¿Dónde empezamos la excavación?"""
Verbos de Aparición,Asomarse,"• Significado: Mostrarse parcialmente desde un lugar<br>• Ejemplos:<br> - ""Asómate a la ventana"" (Look out the window)<br> - ""El sol se asoma entre las nubes"" (The sun peeks through the clouds)<br> - ""Alguien se asoma por la puerta"" (Someone peeks through the door)<br>• Construcciones:<br> - ""Asomarse a"" + lugar: ""Asomarse al balcón""<br> - ""Asomarse por"" + apertura: ""Asomarse por la ventana""<br> - ""Asomarse para"" + propósito: ""Asomarse para ver quién llama""<br>• Traducción: To peek out, to appear partially"
Contracciones Informales,Pa (para),"• Naturaleza: Contracción muy coloquial y oral<br>• Ejemplos:<br> - ""Nos vamos pa' Cali"" (en vez de ""para Cali"")<br> - ""Esto es pa' ti"" (en vez de ""para ti"")<br>• Variantes:<br> - ""Pa'l"" (para el): ""Vamos pa'l centro""<br> - ""Pa'la"" (para la): ""Esto es pa'la casa""<br> - ""Pa'rriba"" (para arriba): ""Mira pa'rriba""<br>• Contexto: Muy informal, principalmente oral<br>• Traducción: For, to (informal contraction)"
Expresiones de Aproximación,En cierto modo,"• Significado: In a way, somewhat, to some extent<br>• Función: Atenuar o matizar afirmaciones<br>• Posición: Flexible en la oración, a menudo entre comas<br>• Ejemplos:<br> - ""En cierto modo, tienes razón, pero no podemos ignorar los otros factores""<br> - ""Me sentí traicionado, aunque en cierto modo lo esperaba""<br>• Funciones específicas:<br> - Concesión parcial: ""En cierto modo, entiendo tu punto de vista""<br> - Reducción de absolutismo: ""Es, en cierto modo, verdadero""<br>• Expresiones similares:<br> - ""De alguna manera"" (más coloquial)<br> - ""En cierta medida"" (enfoque en grado)"
Adverbios y Adjetivos,Solo,"• Como adverbio (solamente):<br> - Significado: Only, just<br> - Ejemplo: ""Solo quiero hablar contigo"" (I just want to talk to you)<br> - Modifica: Verbos, adjetivos, otros adverbios<br>• Como adjetivo (estado de soledad):<br> - Significado: Alone<br> - Ejemplo: ""Estoy solo en casa"" (I'm alone at home)<br> - Concordancia: Varía según género y número (solo, sola, solos, solas)<br>• Ambigüedad contextual:<br> - ""Solo tengo cinco dólares"" puede interpretarse como:<br> - ""I only have five dollars"" (adverbio - limitación)<br> - ""I'm alone and have five dollars"" (adjetivo - estado)"
Expresiones Condicionales,Por si,"• Significado: Just in case, if by any chance<br>• Construcción: ""Por si"" + indicativo (presente/futuro/imperfecto)<br>• Ejemplos:<br> - ""Por si quieres venir"" (In case you want to come)<br> - ""Por si llueve"" (In case it rains)<br> - ""Te lo digo por si te interesa"" (I'm telling you in case you're interested)<br>• Funciones:<br> - Prevención: ""Lleva paraguas por si llueve""<br> - Ofrecimiento indirecto: ""Te lo comento por si quieres participar""<br> - Duda educada: ""Por si no lo sabías, mañana es feriado""<br>• Combinaciones:<br> - ""Por si acaso"" (just in case) - Forma enfática<br> - ""Por si las dudas"" (just to be sure) - Expresión de precaución"
Expresiones de Posibilidad,Tal vez,"• Significado: Maybe, perhaps<br>• Ejemplos:<br> - ""Tal vez una semana, tal vez un mes"" (Maybe a week, maybe a month)<br> - ""Tal vez venga mañana"" (Perhaps I'll come tomorrow)<br>• Construcciones gramaticales:<br> - Con indicativo: ""Tal vez viene"" (mayor probabilidad)<br> - Con subjuntivo: ""Tal vez venga"" (menor probabilidad)<br> - En respuestas: ""¿Vendrás? - Tal vez"" (Will you come? - Maybe)<br>• Uso en combinaciones:<br> - Repetición enfática: ""Tal vez sí, tal vez no"" (Maybe yes, maybe no)<br> - Con ""o"": ""Tal vez hoy o tal vez mañana"" (Maybe today or maybe tomorrow)"
Expresiones de Posibilidad,Comparación entre expresiones de posibilidad,"• Tal vez:<br> - Formalidad: Neutro<br> - Probabilidad: Media<br> - Ejemplo: ""Tal vez llueva mañana""<br>• Quizás:<br> - Formalidad: Neutro-Formal<br> - Probabilidad: Media<br> - Ejemplo: ""Quizás tengamos tiempo""<br>• A lo mejor:<br> - Formalidad: Coloquial<br> - Probabilidad: Media-Alta<br> - Ejemplo: ""A lo mejor nos vemos""<br>• Puede que:<br> - Formalidad: Neutro<br> - Probabilidad: Media-Baja<br> - Ejemplo: ""Puede que llegue tarde""<br>• Posiblemente:<br> - Formalidad: Formal<br> - Probabilidad: Media<br> - Ejemplo: ""Posiblemente necesitemos más recursos""<br>• Probablemente:<br> - Formalidad: Formal<br> - Probabilidad: Alta<br> - Ejemplo: ""Probablemente asista a la reunión"""
Expresiones Temporales,Una vez,"• Como expresión temporal:<br> - Significado: Once, when<br> - Ejemplo: ""Una vez terminado el trabajo, podremos descansar"" (Once the work is done, we can rest)<br> - Estructura: ""Una vez"" + participio/que + verbo<br>• Como expresión de condición cumplida:<br> - Significado: Once, after (condición previa)<br> - Ejemplo: ""Una vez que lo pruebas, no puedes dejarlo"" (Once you try it, you can't stop)<br> - Implicación: Secuencia lógica o causal<br>• Usos específicos:<br> - Inicio de proceso: ""Una vez iniciado el procedimiento, no se puede interrumpir""<br> - Marco temporal: ""Una vez en París, visitaremos la Torre Eiffel""<br> - Frecuencia pasada: ""Una vez fui a Japón"" (I went to Japan once)"
Conjunciones Adversativas,Sino que,"• Estructura: Negación + ""sino que"" + afirmación alternativa<br>• Función: No solo niega lo anterior, sino que introduce una alternativa<br>• Ejemplos:<br> - ""No es azul, sino que es verde"" (It's not blue, but rather green)<br> - ""No solo es inteligente, sino que, además, es muy trabajador"" (Not only is he intelligent, but also hardworking)<br>• Diferencia con ""sino"" simple:<br> - ""Sino"" (sin ""que""): Para contrastes directos - ""No quiero té sino café""<br> - ""Sino que"": Para oraciones con verbo conjugado - ""No llegó tarde sino que no vino""<br>• Traducción: But rather, but instead"
Expresiones Correctivas,Más bien,"• Significado: Rather, instead<br>• Función: Introducir una matización o corrección sutil<br>• Ejemplos:<br> - ""No es triste, más bien es melancólico"" (It's not sad, rather melancholic)<br> - ""No me gusta el frío, más bien prefiero el calor"" (I don't like cold, I rather prefer heat)<br>• Matices:<br> - Corrección suave: No contradice completamente sino que ajusta<br> - Gradación: A menudo indica un grado o matiz distinto pero similar<br> - Reformulación: Permite replantear lo dicho de forma más precisa<br>• Traducción: Rather, instead"
Expresiones Causales,Afecta el modo en que,"• Significado: Affects the way in which<br>• Función: Describir influencia o impacto en procesos o percepciones<br>• Ejemplos:<br> - ""La luz afecta el modo en que percibimos los colores"" (Light affects the way we perceive colors)<br> - ""La educación afecta el modo en que interactuamos socialmente"" (Education affects the way we interact socially)<br>• Variantes gramaticales:<br> - ""Afecta la manera en que..."" (más frecuente en Latinoamérica)<br> - ""Afecta a la forma en que..."" (más común en España)<br> - ""Afecta cómo..."" (versión simplificada)"
Expresiones de Deseo,A veces quisiera...,"• Estructura: ""A veces quisiera"" + infinitivo<br>• Tiempo verbal: Condicional simple (quisiera)<br>• Significado: Sometimes I wish I could...<br>• Ejemplos:<br> - ""A veces quisiera dejar todo"" (Sometimes I wish I could leave everything)<br> - ""A veces quisiera quedarme en casa"" (Sometimes I wish I could stay home)<br>• Matices emocionales:<br> - Nostalgia: ""A veces quisiera volver a mi infancia""<br> - Frustración contenida: ""A veces quisiera decirle lo que pienso""<br> - Anhelo: ""A veces quisiera vivir en otro país""<br>• Variantes:<br> - ""Hay veces que quisiera..."" (más enfático)<br> - ""A veces me gustaría..."" (menos intenso)"
Expresiones de Deseo,Me quiero...,"• Estructura reflexiva: Me + quiero + infinitivo<br>• Significado: I want to... (con matiz reflexivo/personal)<br>• Ejemplos:<br> - ""Me quiero quedar un rato más"" (I want to stay a bit longer)<br> - ""Me quiero salir de este proyecto"" (I want to leave this project)<br> - ""Me quiero ir ya"" (I want to go now)<br>• Comparación:<br> - ""Quiero quedarme"" vs. ""Me quiero quedar"": La segunda añade énfasis personal<br> - Orden de palabras: ""Me quiero + infinitivo"" (Latinoamérica) vs. ""Quiero + infinitivo + me"" (España)"
Expresiones de Cercanía,Te tengo aquí,"• Significado literal: I have you here<br>• Sentido figurado: Expresión de cercanía emocional (señalando corazón/cabeza)<br>• Contextos:<br> - Relaciones románticas: ""Siempre te tengo aquí"" (señalando el corazón)<br> - Recuerdo de seres queridos: ""Te tengo aquí conmigo aunque estés lejos""<br> - Amistad: ""Te tengo aquí"" (indicando aprecio y pensamiento constante)<br>• Traducción: I keep you in my heart/mind"
Expresiones de Exclusividad,En [un lugar] los dos,"• Estructura: Preposición + lugar + ""los dos""<br>• Ejemplos:<br> - ""En París los dos"" (In Paris, the two of us)<br> - ""En casa los dos, sin nadie más""<br> - ""Imagínanos en la playa los dos""<br>• Connotaciones:<br> - Intimidad compartida<br> - Exclusividad de la experiencia<br> - Complicidad<br> - Proyección de escenarios románticos<br>• Traducción: The two of us in [place]"
Expresiones Románticas,Te vuelve a ver,"• Significado: To see you again<br>• Uso: Principalmente en narrativas románticas o nostálgicas<br>• Ejemplos:<br> - ""Mi corazón se alegra cuando te vuelve a ver""<br> - ""Espero que el destino nos vuelva a ver juntos""<br>• Características:<br> - Mayor carga poética que ""verte de nuevo""<br> - Común en letras de canciones y poesía<br> - Implica cierta inevitabilidad o destino<br>• Traducción: To see you again (poetic)"
Expresiones de Afecto,Caerse a besos,"• Significado: To shower with kisses, to kiss passionately<br>• Estructura: Verbo reflexivo ""caerse"" + preposición ""a"" + sustantivo ""besos""<br>• Ejemplos:<br> - ""Se cayeron a besos en cuanto se vieron""<br> - ""No podía dejar de caerse a besos con él""<br>• Registro: Coloquial, expresivo<br>• Visualización: Imagen hiperbólica de abundancia e intensidad<br>• Estructura similar:<br> - ""Caerse a golpes"" (To beat each other up severely)<br> - ""Caerse a carcajadas"" (To laugh uncontrollably)"
Expresiones de Autoestima,Amor propio,"• Significado: Self-love, self-respect, self-esteem<br>• Contextos:<br> - Desarrollo personal: ""Cultivar el amor propio""<br> - Psicología: ""El amor propio es fundamental para relaciones sanas""<br> - Consejos: ""Hay que tener amor propio y establecer límites""<br>• Matices conceptuales:<br> - Más holístico que ""autoestima"" (incluye aceptación y cuidado)<br> - Implica valoración pero también protección de uno mismo<br>• Expresiones relacionadas:<br> - ""Quererse a uno mismo"" - Más directo, proceso activo<br> - ""Valorarse"" - Reconocimiento del propio valor<br> - ""Respetarse"" - Énfasis en dignidad y límites"
Expresiones de Resistencia,A pesar de los pesares,"• Significado: Despite everything, despite all troubles<br>• Estructura: Preposición ""a pesar de"" + sustantivación ""los pesares""<br>• Ejemplos:<br> - ""Aunque a veces duela tanto y a pesar de los pesares, seguimos adelante""<br> - ""A pesar de los pesares, la vida nos sonríe de vez en cuando""<br>• Análisis lingüístico:<br> - ""Pesares"": Sustantivación plural de ""pesar"" (sorrow, grief)<br> - Reduplicación enfática: ""a pesar de"" + derivado de ""pesar""<br>• Expresiones similares:<br> - ""Contra viento y marea"" - Enfatiza la lucha activa<br> - ""Pese a todo"" - Más simple y directo"
Estados Emocionales,Amargo vs. Amargado,"• Amargo:<br> - Significado principal: Sabor literal (bitter taste)<br> - Uso adjetivo: ""Un café amargo"", ""chocolate amargo""<br> - Sentido figurado: ""Una victoria amarga"" (agridulce)<br>• Amargado:<br> - Significado principal: Estado emocional negativo (bitter person)<br> - Participio de ""amargar(se)"": ""Está amargado por el fracaso""<br> - Caracterización de personalidad: ""Es un amargado, siempre se queja"""
Expresiones Emocionales,La vivo/La paso amargado,"• Estructura: ""La"" (vida, implícito) + ""vivo/paso"" + ""amargado""<br>• Significado: I'm living life feeling bitter<br>• Contextos:<br> - Queja sobre situación actual: ""La paso amargado en ese trabajo""<br> - Reflexión sobre estado emocional: ""¿Por qué la vivo amargado?""<br>• Uso regional:<br> - ""La paso + adjetivo"": Más común en Cono Sur y Andes<br> - ""La vivo + adjetivo"": Más general en habla hispana<br> - ""Me la paso + gerundio"": México, Centroamérica (""Me la paso sufriendo"")<br>• Traducción: I spend my life feeling bitter"
Jerga Digital,Subir historias,"• Significado: To post stories (en redes sociales)<br>• Contexto: Instagram, Facebook, Snapchat, WhatsApp<br>• Ejemplos:<br> - ""Voy a subir historias de la fiesta""<br> - ""Siempre sube historias de sus viajes""<br> - ""¿Has visto las historias que subí ayer?""<br>• Extensiones:<br> - ""Subir contenido"" - Más general<br> - ""Subir un post"" - Publicación permanente<br> - ""Subir un reel/video"" - Contenido en formato específico<br>• Traducción: To post stories"
Expresiones Digitales,Borrarme por la lista,"• Significado: To remove me from the list<br>• Contexto: Solicitud de eliminación de registro o suscripción<br>• Análisis sintáctico:<br> - Uso inusual de la preposición ""por"" (lo estándar sería ""de"")<br> - Posible calco de otras estructuras o influencia regional<br>• Expresiones estándar:<br> - ""Borrarme de la lista"" (más correcto)<br> - ""Eliminarme de la lista""<br> - ""Darme de baja""<br>• Contextos de uso: Correo electrónico, mensajería, grupos<br>• Traducción: To remove me from the list"
Frutas Tropicales,Plátano dulce,"• Nombres regionales:<br> - Venezuela: Cambur<br> - Colombia: Banano<br> - España: Banana/Plátano<br> - México: Plátano<br> - Caribe: Guineo<br>• Características: Amarillo, dulce, para comer fresco"
Frutas Tropicales,Plátano para cocinar,"• Nombres regionales:<br> - Venezuela: Plátano/Topocho<br> - Colombia: Plátano<br> - España: Plátano macho<br> - México: Plátano macho<br> - Caribe: Plátano<br>• Características: Verde, para cocinar, menos dulce"
Frutas Tropicales,Maracuyá,"• Nombres regionales:<br> - Venezuela: Parchita<br> - Colombia: Maracuyá/Curuba<br> - España: Fruta de la pasión<br> - México: Maracuyá<br> - Caribe: Parcha<br>• Características: Ácida, cáscara dura púrpura o amarilla"
Frutas Tropicales,Papaya,"• Nombres regionales:<br> - Venezuela: Lechosa<br> - Colombia: Papaya<br> - España: Papaya<br> - México: Papaya<br> - Caribe: Fruta bomba (Cuba)<br>• Características: Naranja, pulpa suave, digestiva"
Frutas Tropicales,Guayaba,"• Nombres regionales: Mismo nombre en todas las regiones<br>• Características: Aromática, pulpa rosada o blanca"
Frutas Tropicales,Aguacate,"• Nombres regionales:<br> - Generalmente: Aguacate<br> - En partes de Sudamérica: Palta<br>• Características: Verde, cremoso, usado en ensaladas"
Frutas Tropicales,Piña,"• Nombres regionales: Mismo nombre en todas las regiones<br>• Características: Dulce-ácida, corona de hojas"
Frutas Tropicales,Mango,"• Nombres regionales: Mismo nombre en todas las regiones<br>• Características: Dulce, fibroso, amarillo-naranja"
Partes de Coches,Neumático,• Variaciones regionales:<br> - España: Neumático<br> - México: Llanta<br> - Argentina: Goma/Cubierta<br> - Venezuela: Caucho<br> - Colombia: Llanta<br> - Chile: Neumático<br>• Traducción al inglés: Tire
Partes de Coches,Llanta metálica,• Variaciones regionales:<br> - España: Llanta<br> - México: Rin<br> - Argentina: Llanta<br> - Venezuela: Rin<br> - Colombia: Rin<br> - Chile: Llanta<br>• Traducción al inglés: Rim
Partes de Coches,Maletero,• Variaciones regionales:<br> - España: Maletero<br> - México: Cajuela<br> - Argentina: Baúl<br> - Venezuela: Maleta<br> - Colombia: Baúl<br> - Chile: Maleta<br>• Traducción al inglés: Trunk
Partes de Coches,Capó,• Variaciones regionales:<br> - España: Capó<br> - México: Cofre<br> - Argentina: Capó<br> - Venezuela: Capó<br> - Colombia: Capó<br> - Chile: Capó<br>• Traducción al inglés: Hood
Partes de Coches,Parabrisas,• Variaciones regionales:<br> - España: Parabrisas<br> - México: Parabrisas<br> - Argentina: Parabrisas<br> - Venezuela: Parabrisas<br> - Colombia: Panorámico<br> - Chile: Parabrisas<br>• Traducción al inglés: Windshield
Partes de Coches,Volante,• Variaciones regionales:<br> - España: Volante<br> - México: Volante<br> - Argentina: Volante<br> - Venezuela: Volante<br> - Colombia: Timón<br> - Chile: Manubrio<br>• Traducción al inglés: Steering wheel
Partes de Coches,Intermitentes,• Variaciones regionales:<br> - España: Intermitentes<br> - México: Direccionales<br> - Argentina: Guiños<br> - Venezuela: Luces<br> - Colombia: Direccionales<br> - Chile: Intermitentes<br>• Traducción al inglés: Turn signals
Partes de Coches,Guardabarros,• Variaciones regionales:<br> - España: Guardabarros<br> - México: Salpicaderas<br> - Argentina: Guardabarros<br> - Venezuela: Guardafango<br> - Colombia: Guardabarros<br> - Chile: Tapabarros<br>• Traducción al inglés: Fender
Partes de Coches,Tubo de escape,• Variaciones regionales:<br> - España: Tubo de escape<br> - México: Escape<br> - Argentina: Caño de escape<br> - Venezuela: Tubo de escape<br> - Colombia: Exosto<br> - Chile: Tubo de escape<br>• Traducción al inglés: Exhaust pipe
Partes de Coches,Asiento trasero,• Variaciones regionales:<br> - España: Asiento trasero<br> - México: Asiento trasero<br> - Argentina: Asiento trasero<br> - Venezuela: Puesto trasero<br> - Colombia: Silla trasera<br> - Chile: Asiento trasero<br>• Traducción al inglés: Back seat
Plátano Frito,Patacones,"• Región: Colombia, Venezuela, Panamá<br>• Tipo de plátano: Verde<br>• Preparación: Frito, aplastado y vuelto a freír<br>• Características: Gruesos, crujientes, salados"
Plátano Frito,Tostones,"• Región: Puerto Rico, Rep. Dominicana, Cuba<br>• Tipo de plátano: Verde<br>• Preparación: Frito, aplastado y vuelto a freír<br>• Características: Similar a patacones"
Plátano Frito,Tajadas,"• Región: Venezuela, Colombia<br>• Tipo de plátano: Maduro<br>• Preparación: Corte diagonal, frito una vez<br>• Características: Dulces, caramelizadas"
Plátano Frito,Maduros,"• Región: Cuba, Colombia<br>• Tipo de plátano: Maduro<br>• Preparación: Corte longitudinal, frito<br>• Características: Dulces, blandos"
Plátano Frito,Chifles,"• Región: Ecuador, Perú<br>• Tipo de plátano: Verde<br>• Preparación: Rebanadas finas, fritas<br>• Características: Muy crujientes, tipo chips"
Plátano Frito,Platanitos,"• Región: México, Guatemala<br>• Tipo de plátano: Verde<br>• Preparación: Rebanadas finas, fritas<br>• Características: Similar a chifles"
Plátano Frito,Tentaciones,"• Región: Colombia<br>• Tipo de plátano: Maduro<br>• Preparación: Maduros cortados, azucarados<br>• Características: Muy dulces, postre"
Plátano Frito,Mariquitas,• Región: Cuba<br>• Tipo de plátano: Verde<br>• Preparación: Rebanadas muy finas<br>• Características: Extremadamente crujientes
Plátano Frito,Plátano en tentación,"• Región: Colombia<br>• Tipo de plátano: Maduro<br>• Preparación: Cocinado con azúcar y canela<br>• Características: Dulce, meloso"
Plátano Frito,Platanitos en miel,• Región: Venezuela<br>• Tipo de plátano: Maduro<br>• Preparación: Fritos y bañados en miel<br>• Características: Postre dulce
Objetos Corredizos,Ventanas corredizas,"• Características: Se deslizan horizontalmente<br>• Ventajas: Ahorro de espacio, ventilación parcial<br>• Desventajas: Menor aislamiento<br>• Contextos de uso: Apartamentos, oficinas<br>• Traducción: Sliding windows"
Objetos Corredizos,Puertas corredizas,"• Características: Se deslizan lateralmente sin abrir hacia fuera<br>• Ventajas: No requieren espacio para abrir<br>• Desventajas: Carriles pueden acumular suciedad<br>• Contextos de uso: Armarios, separación de ambientes<br>• Traducción: Sliding doors"
Objetos Corredizos,Puertas de ducha corredizas,• Características: Se deslizan para permitir acceso<br>• Ventajas: Ideal para baños pequeños<br>• Desventajas: Más difíciles de limpiar<br>• Contextos de uso: Baños reducidos<br>• Traducción: Sliding shower doors
Objetos Corredizos,Cajones corredizos,"• Características: Se abren deslizándose hacia fuera<br>• Ventajas: Organización y acceso fácil<br>• Desventajas: Pueden descarrilarse<br>• Contextos de uso: Cocinas, mobiliario<br>• Traducción: Sliding drawers"
Objetos Corredizos,Mesas corredizas/extensibles,"• Características: Se extienden deslizando partes<br>• Ventajas: Adaptables según necesidad<br>• Desventajas: Mecanismos complejos<br>• Contextos de uso: Comedores, espacios multiusos<br>• Traducción: Extendable tables, sliding tables"
Términos de Piloto,Piloto (contexto técnico),"• Contextos profesionales:<br> - Aviación: ""Piloto de aerolínea""<br> - Automovilismo: ""Piloto de Fórmula 1""<br> - Náutica: ""Piloto de embarcación""<br> - TV/Radio: ""Piloto de programas""<br>• Traducción: Pilot"
Términos de Piloto,Piloto (contexto cotidiano),"• Usos cotidianos:<br> - ""Ser el piloto en un viaje por carretera"" (conductor)<br> - ""Dejar que otro sea el piloto"" (conductor)<br> - ""¿Quién pilota esta vez?"" (conducir)<br>• Expresiones relacionadas:<br> - ""Piloto automático""<br> - ""Programa piloto"" (experimental)<br> - ""Episodio piloto"" (TV)<br> - ""Fase piloto"" (prueba)"
Términos de Piloto,Piloto (metáforas),"• Expresiones metafóricas:<br> - ""Ser el piloto de tu vida"" (tener control)<br> - ""Pilotear un proyecto"" (dirigir)<br> - ""Pilotear en aguas turbulentas"" (manejar dificultades)"
Términos de Piloto,Copiloto (contexto técnico),"• Contextos profesionales:<br> - Aviación: ""Copiloto del vuelo""<br> - Automovilismo: ""Copiloto de rally""<br>• Traducción: Co-pilot"
Términos de Piloto,Copiloto (contexto cotidiano),"• Usos cotidianos:<br> - ""Ser el copiloto"" (navegador en coche)<br> - ""El copiloto lee el mapa""<br> - ""El asiento del copiloto""<br>• Expresiones relacionadas:<br> - ""Actuar como copiloto"" (asistente)"
Términos de Piloto,Copiloto (metáforas),"• Expresiones metafóricas:<br> - ""Ser copiloto en vez de piloto"" (rol secundario)<br> - ""Mi pareja es mi copiloto en la vida""<br> - ""Copilotear en las decisiones"" (apoyar)"
Tipos de Bañeras,Bañera empotrada,"• Características: Instalada contra paredes<br>• Ventajas: Maximiza espacio, común<br>• Usos específicos: Uso familiar, estándar<br>• Materiales comunes: Acrílico, fibra de vidrio<br>• Traducción: Built-in bathtub"
Tipos de Bañeras,Bañera exenta,"• Características: Independiente, separada de paredes<br>• Ventajas: Elegante, punto focal decorativo<br>• Usos específicos: Baños espaciosos, lujo<br>• Materiales comunes: Hierro fundido, acrílico, piedra<br>• Traducción: Freestanding bathtub"
Tipos de Bañeras,Bañera con patas,"• Características: Estilo clásico, elevada sobre patas<br>• Ventajas: Estética vintage, carácter<br>• Usos específicos: Decoración retro, baños clásicos<br>• Materiales comunes: Hierro fundido esmaltado<br>• Traducción: Clawfoot bathtub"
Tipos de Bañeras,Bañera de hidromasaje,"• Características: Con jets de agua/aire<br>• Ventajas: Terapéutica, relajante<br>• Usos específicos: Spa, masajes, terapia<br>• Materiales comunes: Acrílico reforzado<br>• Traducción: Jacuzzi, whirlpool bathtub"
Tipos de Bañeras,Bañera de esquina,"• Características: Diseñada para esquinas<br>• Ventajas: Ahorra espacio<br>• Usos específicos: Baños pequeños<br>• Materiales comunes: Acrílico, fibra de vidrio<br>• Traducción: Corner bathtub"
Tipos de Mesitas,Mesita de noche,"• Función principal: Sostener lámpara, objetos personales<br>• Ubicación típica: Junto a la cama<br>• Características: Pequeña, con cajones/estante<br>• Variantes regionales: ""Mesa de noche"", ""buró"" (México)<br>• Traducción: Nightstand, bedside table"
Tipos de Mesitas,Mesita de centro,"• Función principal: Elemento decorativo, libros, bebidas<br>• Ubicación típica: Centro de sala/salón<br>• Características: Baja, amplia superficie<br>• Variantes regionales: ""Mesa de centro"", ""mesa de café""<br>• Traducción: Coffee table"
Tipos de Mesitas,Mesita auxiliar,"• Función principal: Apoyo puntual, objetos temporales<br>• Ubicación típica: Lateral a sofás, sillones<br>• Características: Versátil, móvil<br>• Variantes regionales: ""Mesa auxiliar"", ""mesa esquinera""<br>• Traducción: Side table, end table"
Tipos de Mesitas,Mesita nido,"• Función principal: Conjunto de mesas apilables<br>• Ubicación típica: Salas de estar<br>• Características: Se guardan una bajo otra<br>• Variantes regionales: ""Mesas nido""<br>• Traducción: Nesting tables"
"Sinónimos de ""Vacío""",Vacío,"• Contexto de uso: General, físico o emocional<br>• Registro: Neutral<br>• Connotación: Ausencia, carencia<br>• Ejemplo: ""El vaso está vacío""<br>• Traducción: Empty"
"Sinónimos de ""Vacío""",Hueco,"• Contexto de uso: Espacio no ocupado<br>• Registro: Coloquial<br>• Connotación: Oportunidad, falta<br>• Ejemplo: ""Hay un hueco en la agenda""<br>• Traducción: Gap, space, slot"
"Sinónimos de ""Vacío""",Desocupado,"• Contexto de uso: Espacio/tiempo disponible<br>• Registro: Formal<br>• Connotación: Disponibilidad<br>• Ejemplo: ""El apartamento está desocupado""<br>• Traducción: Unoccupied, vacant"
"Sinónimos de ""Vacío""",Despoblado,"• Contexto de uso: Áreas sin habitantes<br>• Registro: Geográfico<br>• Connotación: Soledad, aislamiento<br>• Ejemplo: ""Una región despoblada""<br>• Traducción: Unpopulated, depopulated"
Tradiciones de Graduación,Lanzar birretes,"• Países/Regiones: Internacional<br>• Simbolismo: Libertad, logro<br>• Descripción: Arrojar los sombreros académicos al aire<br>• Momento de la ceremonia: Final de ceremonia<br>• Traducción: Cap tossing"
Tradiciones de Graduación,Cambio de borla,"• Países/Regiones: EEUU, adaptado en Latinoamérica<br>• Simbolismo: Transición de estudiante a graduado<br>• Descripción: Mover la borla de un lado a otro del birrete<br>• Momento de la ceremonia: Durante entrega de diplomas<br>• Traducción: Tassel turning"
Tradiciones de Graduación,Anillos de graduación,"• Países/Regiones: EEUU, algunos países latinoamericanos<br>• Simbolismo: Pertenencia, logro<br>• Descripción: Entrega de anillos personalizados<br>• Momento de la ceremonia: Antes/durante ceremonia<br>• Traducción: Class rings"
Roles de Traducción,Traductor,"• Funciones principales: Convertir textos escritos entre idiomas<br>• Habilidades clave: Precisión, investigación, redacción<br>• Ámbitos de trabajo: Editorial, legal, técnico<br>• Formación típica: Filología, Traducción<br>• Traducción: Translator"
Roles de Traducción,Intérprete simultáneo,"• Funciones principales: Traducción oral inmediata<br>• Habilidades clave: Rapidez mental, memoria, concentración<br>• Ámbitos de trabajo: Conferencias, tribunales<br>• Formación típica: Interpretación, idiomas<br>• Traducción: Simultaneous interpreter"
Roles de Traducción,Intérprete consecutivo,"• Funciones principales: Traducción oral tras pausas<br>• Habilidades clave: Técnicas de memoria, toma de notas<br>• Ámbitos de trabajo: Reuniones, entrevistas<br>• Formación típica: Interpretación, idiomas<br>• Traducción: Consecutive interpreter"
Patrones Educativos,Tablas de multiplicar,"• Edad/Nivel típico: 7-9 años<br>• Propósito pedagógico: Memorización matemática básica<br>• Materiales asociados: Tablas impresas, canciones<br>• Evolución actual: Complementado con comprensión conceptual<br>• Traducción: Multiplication tables"
Patrones Educativos,Caligrafía/planas,"• Edad/Nivel típico: 6-8 años<br>• Propósito pedagógico: Desarrollo motricidad fina<br>• Materiales asociados: Cuadernos pautados, plantillas<br>• Evolución actual: Mayor énfasis en contenido vs. forma<br>• Traducción: Handwriting practice/worksheets"
Patrones Educativos,Dictados,"• Edad/Nivel típico: Todo primaria<br>• Propósito pedagógico: Ortografía, atención auditiva<br>• Materiales asociados: Textos graduados<br>• Evolución actual: Combinado con autocorrección<br>• Traducción: Dictation"
"Colocaciones con ""Los Años""",Los años siguientes,"• Significado/Uso: Período posterior<br>• Ejemplos: ""Los años siguientes a la guerra fueron difíciles""<br>• Registro: Neutral<br>• Temporalidad: Posterior<br>• Traducción: The following years"
