La resonancia	Resonance	Amplitud y calidad del sonido que produce un instrumento.	Resonancia cálida del violonchelo, explorar la resonancia en el arpa																					
La articulación	Articulation	Modo en que se ejecutan las notas, como staccato o legato.	Practicar articulaciones claras, usar legato en pasajes melódicos																					
El trémolo	Tremolo	Técnica que consiste en la repetición rápida de una nota.	Trémolo en los violines, añadir trémolo al xilófono																					
La voz	Voice	Sonido producido por las cuerdas vocales al hablar o cantar.	Entrenar la voz, una voz melódica																					
El registro	Vocal range	Extensión de notas que puede alcanzar una voz.	Registro grave, explorar el registro agudo																					
El vibrato	Vibrato	Variación oscilante en el tono de una nota sostenida.	Practicar el vibrato, un vibrato natural																					
La respiración	Breathing	Técnica de control del aire al cantar.	Respiración diafragmática, mejorar la respiración en el canto																					
El tono	Pitch	Altura o profundidad de una nota.	Mantener el tono correcto, tono perfecto en la interpretación																					
El timbre	Timbre	Calidad distintiva de la voz de cada cantante.	Un timbre cálido, estudiar el timbre vocal																					
El falsete	Falsetto	Registro vocal alto producido por los hombres.	Cantar en falsete, un falsete claro y limpio																					
La tesitura	Tessitura	Rango de notas más cómodo para una voz.	Elegir canciones en tu tesitura, tesitura de soprano																					
El coro	Choir	Grupo de personas que cantan juntas en armonía.	Participar en el coro, un coro de iglesia																					
El solo	Solo	Interpretación vocal realizada por una sola persona.	Un solo en la ópera, cantar un solo en el concierto																					
La afinación	Tuning	Precisión de las notas cantadas respecto al tono correcto.	Practicar la afinación, cantar con afinación perfecta																					
El intervalo	Interval	Distancia entre dos notas en términos de tono.	Cantar intervalos ascendentes, practicar intervalos mayores																					
La modulación	Modulation	Cambio de tonalidad durante una canción.	Modulación en la última estrofa, practicar modulaciones																					
La lírica	Lyrics	Palabras de una canción.	Memorizar las líricas, escribir líricas emotivas																					
El acompañamiento	Accompaniment	Música instrumental que apoya al cantante.	Cantar con acompañamiento de piano, acompañamiento en la guitarra																					
El fraseo	Phrasing	Forma en que las palabras y notas se agrupan al cantar.	Mejorar el fraseo en baladas, fraseo natural en la interpretación																					
El vibrato natural	Natural vibrato	Vibración ligera en la voz sin esfuerzo forzado.	Un vibrato natural y controlado																					
Agudo/a	High-pitched	Que produce un tono alto.	Un registro agudo impresionante, una voz aguda																					
Grave	Low-pitched	Que produce un tono bajo o profundo.	Un registro grave, una voz grave y potente																					
Potente	Powerful	Que tiene fuerza y proyección.	Una voz potente, un canto potente en el escenario																					
Dulce	Sweet	Que suena agradable y melódico.	Una voz dulce y suave, un tono dulce																					
Expresivo/a	Expressive	Que transmite emoción a través del canto.	Interpretación expresiva, una voz expresiva																					
Resonante	Resonant	Que llena el espacio con sonido.	Una voz resonante, un timbre resonante																					
Ligero/a	Light	Que tiene un sonido claro y delicado.	Un soprano ligero, un vibrato ligero																					
Cálido/a	Warm	Que transmite cercanía y suavidad.	Un tono cálido, un timbre cálido																					
Claro/a	Clear	Que es fácilmente audible y bien definido.	Un tono claro y preciso, una voz clara																					
Versátil	Versatile	Que se adapta a diferentes estilos de canto.	Una voz versátil, cantar en géneros versátiles																					
Cantar	To sing	Producir música vocal.	Cantar en un concierto, cantar una balada																					
Afinar	To tune	Ajustar la voz para que coincida con la nota correcta.	Afinar con el piano, aprender a afinar correctamente																					
Proyectar	To project	Enviar la voz con fuerza y claridad al público.	Proyectar la voz en el teatro, proyectar en un auditorio																					
Respirar	To breathe	Tomar aire para sostener el canto.	Respirar profundamente antes de una nota larga, controlar la respiración																					
Entonar	To tune/pitch	Ajustar el tono para cantar correctamente.	Entonar al unísono, practicar entonación																					
Improvisar	To improvise	Crear líneas vocales sin planificación previa.	Improvisar en jazz vocal, aprender técnicas de improvisación																					
Articular	To articulate	Pronunciar claramente las palabras al cantar.	Articular cada palabra, mejorar la articulación en el canto																					
Interpretar	To perform	Transmitir emociones y significado al cantar.	Interpretar una canción de ópera, interpretar con pasión																					
Modular	To modulate	Cambiar el tono o clave mientras se canta.	Modular en la última estrofa, aprender a modular en baladas																					
Vibrar	To vibrate	Crear un vibrato natural con la voz.	Vibrar en notas largas, practicar vibrato controlado																					
El bel canto	Bel canto	Estilo de canto clásico italiano enfocado en la belleza del tono y la técnica.	Estudiar bel canto, técnica perfecta de bel canto																					
El canto coral	Choral singing	Canto grupal organizado en armonías.	Cantar en un grupo de canto coral, ensayos de canto coral																					
El scat	Scat	Técnica de jazz donde se improvisa con sílabas sin significado.	Practicar scat en jazz, improvisar scat en una jam session																					
El melisma	Melisma	Técnica de cantar varias notas en una sílaba.	Usar melismas en música gospel, practicar melismas																					
El staccato	Staccato	Técnica de canto con notas cortas y separadas.	Practicar staccato en escalas, usar staccato en pasajes rápidos																					
La comedia	Comedy	Género de entretenimiento diseñado para provocar risa.	Obras de comedia clásica, comedia en el teatro																					
El payaso	Clown	Personaje cómico con maquillaje y vestimenta extravagante, que hace reír al público.	Actuar como payaso, un payaso de circo																					
El chiste	Joke	Frase o historia breve diseñada para hacer reír.	Contar un chiste gracioso, reírse de un buen chiste																					
La broma	Prank/Joke	Acción o comentario que busca provocar risa.	Hacer una broma a un amigo, una broma inofensiva																					
La sátira	Satire	Género que utiliza el humor para criticar aspectos sociales o políticos.	Sátira política, obras de sátira social																					
El bufón	Jester	Personaje cómico que entretenía a las cortes reales.	El bufón del rey, historias de bufones medievales																					
El humorista	Comedian	Persona que crea o interpreta contenido humorístico.	Un humorista famoso, actuar como humorista en un club																					
El espectáculo	Show	Presentación en vivo diseñada para entretener.	Espectáculo de comedia, un espectáculo de payasos																					
El sketch	Sketch	Escena breve de comedia con una situación cómica.	Un sketch de televisión, escribir un sketch cómico																					
El circo	Circus	Espacio de entretenimiento con acrobacias, payasos y animales.	El circo llegó a la ciudad, un payaso en el circo																					
La carcajada	Laughter	Risa fuerte y contagiosa.	Soltar una carcajada, provocar carcajadas en el público																					
El slapstick	Slapstick	Tipo de comedia física exagerada, con caídas y golpes.	Comedia slapstick en el cine, escenas clásicas de slapstick																					
El mimo	Mime	Artista que actúa sin palabras, utilizando gestos y expresiones.	Un mimo en la calle, aprender técnicas de mimo																					
El maquillaje	Makeup	Pintura y accesorios usados por payasos y actores.	Aplicar maquillaje de payaso, maquillaje exagerado en comedia																					
La nariz roja	Red nose	Símbolo clásico de los payasos, asociado con su personaje cómico.	Ponerse la nariz roja, payasos con narices rojas																					
Gracioso/a	Funny	Que provoca risa o diversión.	Un payaso gracioso, una historia graciosa																					
Ridículo/a	Ridiculous	Exagerado o absurdo, diseñado para provocar risa.	Un traje ridículo, situaciones ridículas																					
Exagerado/a	Exaggerated	Que se presenta de forma amplificada o extrema.	Movimientos exagerados, humor exagerado																					
Ingenioso/a	Witty	Que demuestra creatividad y rapidez mental para el humor.	Un comentario ingenioso, comedia ingeniosa																					
Sarcástico/a	Sarcastic	Que usa la ironía para expresar humor.	Un comentario sarcástico, humor sarcástico en una obra																					
Absurdo/a	Absurd	Que carece de lógica o sentido, pero es cómico.	Una situación absurda, humor absurdo en teatro																					
Visual	Visual	Relacionado con el uso de imágenes o acciones para provocar risa.	Comedia visual, efectos visuales cómicos																					
Tonto/a	Silly	Que provoca risa por ser ingenuo o simple.	Una broma tonta, un payaso tonto y simpático																					
Contagioso/a	Contagious	Que se transmite fácilmente, como la risa.	Una risa contagiosa, humor contagioso																					
Reír	To laugh	Expresar alegría mediante sonidos vocales característicos.	Reír con un buen chiste, reírse de una broma																					
Bromear	To joke	Hacer comentarios humorísticos o ligeros.	Bromear con amigos, bromear sobre un tema																					
Actuar	To perform	Representar un papel en una obra o espectáculo.	Actuar como payaso, actuar en una comedia																					
Hacer reír	To make laugh	Provocar risa en otras personas.	Hacer reír al público, hacer reír con gestos																					
Imitar	To imitate	Reproducir las acciones o palabras de alguien para provocar risa.	Imitar a un personaje famoso, imitar acentos cómicos																					
Caerse	To fall	Realizar una caída cómica para entretenimiento.	Caerse en el escenario, caídas graciosas en slapstick																					
Exagerar	To exaggerate	Amplificar acciones o palabras para causar impacto cómico.	Exagerar un movimiento, exagerar una reacción																					
Gesticular	To gesticulate	Usar movimientos de manos y cuerpo para expresar emociones.	Gesticular exageradamente, comunicar sin palabras gesticulando																					
Improvisar	To improvise	Crear humor espontáneamente sin un guion preparado.	Improvisar en un sketch, improvisar una broma																					
Disfrazarse	To dress up	Ponerse ropa y accesorios para representar un personaje.	Disfrazarse de payaso, disfrazarse para un espectáculo																					
El humor negro	Dark humor	Humor que aborda temas sensibles o tabú con tono cómico.	Practicar humor negro, escribir comedia de humor negro																					
La parodia	Parody	Imitación humorística de personas o situaciones.	Crear una parodia de una película, actuar en una parodia																					
La ironía	Irony	Uso de palabras o situaciones para expresar lo opuesto de lo esperado.	Usar la ironía en el diálogo, humor irónico en obras																					
El absurdo	Absurdity	Uso de lo ilógico o surrealista para provocar risa.	Humor absurdo en sketches, escenas de comedia absurda																					
El clowning	Clowning	Técnica teatral basada en la expresión física y gestual.	Aprender técnicas de clowning, actuar en clowning moderno																					
El humor físico	Physical humor	Uso del cuerpo y movimientos para generar risas.	Escenas de humor físico, un payaso experto en humor físico																					
El teatro	Theatre	Lugar donde se realizan representaciones artísticas en vivo.	Ir al teatro, actuar en un teatro famoso																					
El escenario	Stage	Espacio elevado donde los actores o músicos se presentan.	Subir al escenario, decorar el escenario																					
La audiencia	Audience	Público que asiste a una obra, concierto o espectáculo.	La audiencia aplaudió de pie, atraer a la audiencia																					
La obra	Play	Representación dramática o teatral.	Ensayar una obra de teatro, ver una obra clásica																					
El telón	Curtain	Tela grande que separa el escenario del público.	Levantar el telón, bajar el telón al final																					
El camerino	Dressing room	Espacio privado donde los actores se preparan para actuar.	Prepararse en el camerino, decorar un camerino																					
El proscenio	Proscenium	Parte del escenario más cercana al público, frente al telón.	Hablar desde el proscenio, actuación en el proscenio																					
El foso de orquesta	Orchestra pit	Espacio frente al escenario donde se coloca la orquesta.	Música en el foso de orquesta, el director en el foso																					
El vestuario	Costume	Ropa que usan los actores para interpretar personajes.	Diseñar el vestuario, ponerse el vestuario para la obra																					
La utilería	Props	Objetos usados por los actores durante la obra.	Colocar la utilería en el escenario, manejar la utilería con cuidado																					
La iluminación	Lighting	Sistema de luces que crea ambiente en el escenario.	Ajustar la iluminación para el acto final, efectos de iluminación																					
El sonido	Sound	Elemento técnico relacionado con la música, diálogos y efectos sonoros.	Controlar el sonido desde la cabina, efectos de sonido en la obra																					
La tramoya	Stage machinery	Sistema mecánico que mueve decorados, telones y utilería.	Usar la tramoya para el cambio de escena, mantenimiento de la tramoya																					
El escenario giratorio	Revolving stage	Plataforma que puede girar para cambiar decorados o escenas.	Usar un escenario giratorio, montar decorados en el escenario giratorio																					
El aforo	Seating capacity	Cantidad máxima de personas que pueden asistir a un teatro.	Un teatro con aforo completo, calcular el aforo para el espectáculo																					
Clásico/a	Classic	Relacionado con el teatro tradicional o histórico.	Un diseño clásico del teatro, obras clásicas en el repertorio																					
Moderno/a	Modern	Relacionado con estructuras y tecnologías contemporáneas.	Un teatro moderno con iluminación avanzada, un escenario moderno																					
Amplio/a	Spacious	Que tiene mucho espacio, especialmente en el escenario o auditorio.	Un escenario amplio para bailar, un teatro amplio y cómodo																					
Acústico/a	Acoustic	Relacionado con la calidad del sonido en el teatro.	Una sala con excelente acústica, ajustes acústicos en el teatro																					
Intenso/a	Intense	Que crea emociones fuertes o dramáticas.	Iluminación intensa en el clímax, un monólogo intenso																					
Creativo/a	Creative	Que demuestra originalidad en diseño o ejecución.	Escenografía creativa, una puesta en escena creativa																					
Oscuro/a	Dark	Que tiene poca luz o un ambiente sombrío.	Iluminación oscura para escenas de suspenso, un teatro oscuro y misterioso																					
Iluminado/a	Well-lit	Que tiene buena iluminación.	Un escenario bien iluminado, áreas iluminadas para el público																					
Actuar	To act	Interpretar un personaje en una obra o espectáculo.	Actuar en el teatro local, actuar en el escenario principal																					
Ensayar	To rehearse	Practicar una obra o espectáculo antes de presentarlo al público.	Ensayar una escena difícil, ensayar con todo el elenco																					
Interpretar	To perform	Representar un papel o pieza musical en un teatro.	Interpretar el papel principal, interpretar una obra clásica																					
Dirigir	To direct	Supervisar la producción de una obra o espectáculo.	Dirigir una obra de teatro, dirigir actores en el escenario																					
Iluminar	To light	Colocar luces en el escenario para crear efectos visuales.	Iluminar el escenario, iluminar al protagonista																					
Montar	To set up	Preparar el escenario, decorados y utilería para la obra.	Montar una escena compleja, montar decorados rápidamente																					
Proyectar	To project	Enviar la voz o la imagen hacia la audiencia.	Proyectar la voz al fondo del teatro, proyectar imágenes en la pantalla																					
Diseñar	To design	Crear los elementos visuales de la escenografía, vestuario o iluminación.	Diseñar el vestuario para la obra, diseñar el escenario																					
Aplausos	To applaud	Mostrar aprobación al final de una obra con aplausos.	Recibir aplausos de pie, provocar aplausos entusiastas																					
La dramaturgia	Playwriting	Arte de escribir guiones teatrales.	Aprender dramaturgia, escribir dramaturgia contemporánea																					
La escenografía	Scenography	Diseño y construcción de los decorados para el escenario.	Escenografía minimalista, contratar expertos en escenografía																					
El monólogo	Monologue	Escena donde un personaje habla solo al público o consigo mismo.	Un monólogo emocional, preparar un monólogo para audición																					
La obra musical	Musical play	Espectáculo teatral que combina canciones, diálogo y danza.	Participar en una obra musical, ensayar canciones del musical																					
El teatro experimental	Experimental theatre	Estilo que rompe con las normas tradicionales del teatro.	Presentar teatro experimental, técnicas modernas en teatro experimental																					
El actor / La actriz	Actor / Actress	Persona que interpreta personajes en una obra o espectáculo.	El actor principal de la obra, una actriz de teatro clásico																					
El director / La directora	Director	Persona responsable de coordinar y supervisar la producción teatral.	El director ensayó con los actores, dirigir una obra de drama																					
El dramaturgo / La dramaturga	Playwright	Persona que escribe guiones teatrales.	Leer las obras de un dramaturgo famoso, una dramaturga contemporánea																					
El escenógrafo / La escenógrafa	Set designer	Persona que diseña y crea los decorados del escenario.	Contratar a un escenógrafo creativo, trabajar con la escenografía																					
El técnico de iluminación	Lighting technician	Persona que diseña y opera el sistema de luces del teatro.	Ajustar las luces con el técnico de iluminación, un espectáculo bien iluminado																					
El técnico de sonido	Sound technician	Persona encargada de los efectos sonoros y la calidad del audio.	Controlar el volumen con el técnico de sonido, mezclar audio en vivo																					
El tramoyista	Stagehand	Persona que maneja la tramoya y los cambios de decorado en el escenario.	El tramoyista cambió el decorado entre actos, organizar la tramoya																					
El vestuarista / La vestuarista	Costume designer	Persona encargada de diseñar y mantener los trajes para la obra.	El vestuarista diseñó los trajes históricos, cuidar el vestuario																					
El maquillador / La maquilladora	Makeup artist	Persona que aplica maquillaje a los actores según los personajes.	El maquillador trabajó en los efectos especiales, maquillaje detallado para la obra																					
El coreógrafo / La coreógrafa	Choreographer	Persona que crea y coordina las rutinas de baile en un espectáculo.	Ensayar con el coreógrafo, una coreografía espectacular																					
El productor / La productora	Producer	Persona que financia y supervisa la producción teatral.	El productor aprobó el presupuesto, la productora organizó la promoción																					
El regidor / La regidora	Stage manager	Persona que coordina todos los aspectos técnicos y logísticos durante la función.	El regidor manejó la sincronización perfecta, trabajar con el regidor en los ensayos																					
El apuntador / La apuntadora	Prompter	Persona que ayuda a los actores recordándoles sus líneas si las olvidan.	El apuntador susurró la frase, papel crucial del apuntador																					
El actor de reparto / La actriz de reparto	Supporting actor	Actor que interpreta un papel secundario pero importante.	Un actor de reparto talentoso, actriz de reparto en un papel emotivo																					
El encargado de utilería	Props master	Persona que maneja y organiza los objetos usados en escena.	Buscar utilería con el encargado, preparar accesorios específicos																					
El acomodador / La acomodadora	Usher	Persona que guía al público a sus asientos.	El acomodador recibió a los invitados, ayudar a la audiencia como acomodador																					
El gerente del teatro	Theatre manager	Persona que administra el teatro y sus operaciones generales.	El gerente organizó los horarios, trabajar con el gerente del teatro																					
El diseñador de sonido	Sound designer	Persona que crea los efectos sonoros y el diseño acústico.	Diseñar efectos de sonido innovadores, trabajar con el diseñador de sonido																					
Creativo/a	Creative	Que demuestra originalidad e imaginación.	Un escenógrafo creativo, un coreógrafo con ideas creativas																					
Organizado/a	Organized	Que maneja tareas de manera estructurada y eficiente.	Un regidor organizado, un gerente del teatro organizado																					
Versátil	Versatile	Que puede desempeñar diferentes roles o funciones.	Un actor versátil, un técnico de sonido versátil																					
Dedicado/a	Dedicated	Que se compromete plenamente con su trabajo.	Una actriz dedicada, un productor muy dedicado																					
Colaborativo/a	Collaborative	Que trabaja bien en equipo.	Un equipo técnico colaborativo, un vestuarista colaborativo																					
Responsable	Responsible	Que asume y cumple con sus obligaciones.	Un regidor responsable, técnicos responsables en escena																					
Interpretar	To perform	Representar un personaje en una obra teatral.	Interpretar el papel principal, interpretar con pasión																					
Dirigir	To direct	Supervisar la puesta en escena y las actuaciones.	Dirigir una obra moderna, dirigir actores en ensayos																					
Diseñar	To design	Crear elementos visuales como escenografía, iluminación o vestuario.	Diseñar un decorado innovador, diseñar trajes históricos																					
Supervisar	To supervise	Coordinar aspectos técnicos y logísticos de la producción.	Supervisar los ensayos, supervisar los cambios de escena																					
Ensayar	To rehearse	Practicar una obra antes de presentarla al público.	Ensayar con el director, ensayar escenas complicadas																					
Maquillar	To apply makeup	Aplicar maquillaje a los actores.	Maquillar para efectos especiales, maquillar actores en camerinos																					
Coordinar	To coordinate	Asegurar que todos los elementos trabajen en armonía.	Coordinar el equipo técnico, coordinar cambios de utilería																					
Producir	To produce	Financiar y gestionar la creación de una obra teatral.	Producir un musical exitoso, producir obras independientes																					
Asistir	To assist	Apoyar a actores, técnicos o público en diversas tareas.	Asistir al vestuarista, asistir al director durante ensayos																					
La silla	Chair	Mueble para sentarse, con respaldo y, a veces, con brazos.	Una silla de madera, sentarse en una silla cómoda																					
El sofá	Sofa	Mueble acolchado, con respaldo y apoyabrazos, para varias personas.	Un sofá de cuero, descansar en el sofá																					
La mesa	Table	Superficie plana sostenida por patas, utilizada para trabajar, comer o apoyar objetos.	Mesa de comedor, mesa de trabajo																					
El escritorio	Desk	Mesa diseñada para trabajar o estudiar, a menudo con cajones.	Un escritorio ergonómico, organizar el escritorio																					
La cama	Bed	Mueble para dormir, compuesto por un marco y un colchón.	Una cama matrimonial, dormir en una cama cómoda																					
El armario	Wardrobe	Mueble cerrado con puertas, usado para guardar ropa.	Un armario grande, ropa en el armario																					
La cómoda	Dresser	Mueble con cajones para guardar ropa y objetos personales.	Una cómoda de madera, guardar ropa en la cómoda																					
El aparador	Sideboard	Mueble bajo con cajones y puertas, usado para almacenar vajilla.	Un aparador antiguo, platos guardados en el aparador																					
El estante	Shelf	Superficie plana montada en la pared o dentro de un mueble, usada para almacenar objetos.	Estantes llenos de libros, un estante decorativo																					
La librería	Bookshelf	Mueble con varias repisas para guardar libros.	Organizar libros en la librería, comprar una librería nueva																					
La mesa de centro	Coffee table	Mesa baja colocada frente al sofá en la sala de estar.	Una mesa de centro de cristal, decorar la mesa de centro																					
El taburete	Stool	Mueble alto o bajo, sin respaldo, para sentarse.	Un taburete de cocina, sentarse en un taburete																					
La mesilla de noche	Nightstand	Pequeña mesa colocada al lado de la cama, usada para lámparas o libros.	Colocar una lámpara en la mesilla de noche, una mesilla de noche compacta																					
El sillón	Armchair	Silla grande y cómoda, generalmente con brazos.	Un sillón reclinable, leer en un sillón																					
El banco	Bench	Asiento largo, a menudo sin respaldo, para varias personas.	Un banco de madera en el jardín, bancos en el parque																					
La chaise longue	Chaise longue	Mueble alargado para reclinarse y descansar.	Una chaise longue elegante, relajarse en la chaise longue																					
El perchero	Coat rack	Estructura para colgar ropa, sombreros o accesorios.	Colgar abrigos en el perchero, un perchero de pie																					
La vitrina	Display cabinet	Mueble con puertas de cristal, usado para mostrar objetos.	Una vitrina para colecciones, decorar la vitrina																					
El tocador	Vanity table	Mesa con espejo, usada para maquillarse o arreglarse.	Colocar cosméticos en el tocador, un tocador elegante																					
El baúl	Chest	Mueble cerrado con tapa, usado para almacenar ropa o objetos.	Guardar mantas en el baúl, un baúl antiguo																					
Cómodo/a	Comfortable	Que proporciona comodidad al usuario.	Un sofá cómodo, una silla cómoda																					
Elegante	Elegant	Que tiene un diseño refinado o sofisticado.	Un tocador elegante, una mesa de comedor elegante																					
Funcional	Functional	Diseñado para ser práctico y útil.	Un escritorio funcional, muebles funcionales en espacios pequeños																					
Compacto/a	Compact	De tamaño reducido, ideal para espacios pequeños.	Un armario compacto, una cómoda compacta																					
Espacioso/a	Spacious	Que proporciona espacio amplio para almacenamiento o uso.	Un sofá espacioso, un armario espacioso																					
Minimalista	Minimalist	De diseño simple y sin elementos innecesarios.	Una mesa minimalista, decoración minimalista																					
Rústico/a	Rustic	De estilo natural o campestre, a menudo hecho de madera.	Una mesa rústica, muebles rústicos en la cocina																					
Antiguo/a	Antique	Que tiene valor histórico o pertenece a épocas pasadas.	Un armario antiguo, un baúl antiguo restaurado																					
Modernista	Modernist	De diseño contemporáneo, con líneas limpias y estilos actuales.	Un sillón modernista, muebles de diseño modernista																					
Comprar	To buy	Adquirir muebles para el hogar.	Comprar un sofá nuevo, comprar muebles modernos																					
Montar	To assemble	Construir o armar muebles a partir de piezas.	Montar una mesa, instrucciones para montar un armario																					
Mover	To move	Cambiar de lugar los muebles en una habitación.	Mover el sillón hacia la esquina, mover una cama pesada																					
Decorar	To decorate	Embellecer un espacio usando muebles y accesorios.	Decorar con muebles elegantes, decorar la sala de estar																					
Organizar	To organize	Colocar objetos o muebles en un orden lógico y funcional.	Organizar estantes, organizar un armario																					
Reparar	To repair	Arreglar muebles dañados o desgastados.	Reparar una silla rota, reparar el tapizado del sofá																					
Barnizar	To varnish	Aplicar una capa protectora a muebles de madera.	Barnizar una mesa de madera, barnizar muebles rústicos																					
Tapizar	To upholster	Cubrir un mueble con tela o cuero nuevo.	Tapizar un sillón viejo, elegir tela para tapizar																					
El sitio web	Website	Conjunto de páginas en línea agrupadas bajo un dominio.	Diseñar un sitio web, visitar un sitio web educativo																					
La página web	Web page	Documento individual dentro de un sitio web.	Una página web interactiva, cargar una página web																					
El dominio	Domain	Dirección única que identifica un sitio web en Internet.	Registrar un dominio, elegir un dominio adecuado																					
El alojamiento web	Web hosting	Servicio que almacena sitios web en servidores para que estén accesibles.	Contratar alojamiento web, tipos de alojamiento web																					
La URL	URL	Dirección específica que identifica un recurso en la web.	Escribir la URL en el navegador, compartir una URL																					
El servidor	Server	Computadora que almacena y entrega sitios web a los usuarios.	Configurar un servidor, servidores dedicados para sitios grandes																					
El diseño web	Web design	Proceso de crear la apariencia y funcionalidad de un sitio web.	Aprender diseño web, contratar un diseñador web																					
La interfaz de usuario	User interface	Parte visual y funcional de un sitio que los usuarios interactúan.	Diseñar una interfaz de usuario amigable, una interfaz intuitiva																					
La experiencia de usuario	User experience	Sensación y facilidad que tiene un usuario al interactuar con un sitio web.	Mejorar la experiencia de usuario, análisis de experiencia de usuario																					
El contenido	Content	Información, imágenes, texto y multimedia en un sitio web.	Crear contenido atractivo, actualizar el contenido del sitio																					
El encabezado	Header	Parte superior de una página web que contiene el logo, menú, o título.	Personalizar el encabezado, diseñar un encabezado llamativo																					
El pie de página	Footer	Parte inferior de una página web con enlaces y datos adicionales.	Añadir contacto en el pie de página, información legal en el pie																					
El enlace	Link	Conexión que lleva a otra página web o recurso.	Hacer clic en un enlace, enlaces internos y externos																					
El formulario	Form	Sección interactiva donde los usuarios ingresan datos.	Completar un formulario de contacto, diseñar un formulario funcional																					
El menú de navegación	Navigation menu	Lista de enlaces para moverse entre las secciones de un sitio web.	Crear un menú de navegación claro, añadir categorías al menú																					
El código fuente	Source code	Conjunto de instrucciones que forman un sitio web.	Editar el código fuente, aprender a leer código fuente																					
El CMS	Content Management System	Sistema para gestionar contenido de un sitio web sin conocimientos de programación.	Usar un CMS como WordPress, configurar un CMS																					
La base de datos	Database	Sistema que almacena y organiza información del sitio web.	Conectar el sitio a una base de datos, administrar datos de usuarios																					
El SEO	Search Engine Optimization	Prácticas para mejorar la visibilidad de un sitio en motores de búsqueda.	Optimizar SEO para tráfico, estrategias de SEO orgánico																					
El diseño responsive	Responsive design	Diseño adaptable a diferentes tamaños de pantalla y dispositivos.	Implementar diseño responsive, mejorar el diseño móvil																					
Interactivo/a	Interactive	Que permite la participación activa de los usuarios.	Un mapa interactivo en la página web, contenido interactivo																					
Responsivo/a	Responsive	Que se adapta automáticamente a diferentes dispositivos.	Un diseño responsivo es esencial, páginas responsivas para móviles																					
Atractivo/a	Attractive	Que visualmente llama la atención.	Crear un diseño atractivo, contenido visualmente atractivo																					
Intuitivo/a	Intuitive	Fácil de usar y entender por el usuario.	Un menú intuitivo, navegación intuitiva																					
Funcional	Functional	Que cumple con su propósito de manera eficiente.	Un formulario funcional, enlaces funcionales																					
Optimizado/a	Optimized	Diseñado para un rendimiento eficiente y rápido.	Un sitio optimizado para SEO, páginas optimizadas para carga rápida																					
Seguro/a	Secure	Que protege los datos y la privacidad de los usuarios.	Implementar un sitio seguro, protocolos seguros HTTPS																					
Accesible	Accessible	Que puede ser usado por personas con discapacidades o limitaciones técnicas.	Crear un sitio accesible, accesibilidad para lectores de pantalla																					
Diseñar	To design	Crear la estructura y apariencia de un sitio web.	Diseñar un sitio desde cero, diseñar para móviles																					
Codificar	To code	Escribir el código que forma el sitio web.	Codificar en HTML, codificar una función para el menú																					
Optimizar	To optimize	Mejorar el rendimiento y la visibilidad de un sitio web.	Optimizar imágenes para carga rápida, optimizar SEO																					
Navegar	To navigate	Moverse entre las páginas de un sitio web.	Navegar por el sitio fácilmente, herramientas para navegar																					
Subir	To upload	Transferir archivos al servidor para publicarlos en el sitio web.	Subir imágenes al servidor, subir contenido nuevo																					
Actualizar	To update	Cambiar o agregar información en un sitio web.	Actualizar el contenido regularmente, actualizar los enlaces rotos																					
Probar	To test	Revisar el funcionamiento del sitio para detectar errores.	Probar la compatibilidad en dispositivos, probar formularios																					
Enlazar	To link	Conectar una página o recurso a otra mediante un enlace.	Enlazar productos a la tienda, enlazar a redes sociales																					
Configurar	To configure	Ajustar las opciones técnicas del sitio web.	Configurar el servidor, configurar un CMS																					
Eliminar	To delete	Borrar contenido o elementos del sitio web.	Eliminar enlaces rotos, eliminar archivos obsoletos																					
El diseño UI/UX	UI/UX design	Diseño enfocado en la interfaz y la experiencia del usuario.	Contratar a un diseñador de UI/UX, optimizar la UX del sitio																					
La velocidad de carga	Loading speed	Tiempo que tarda una página en mostrarse completamente.	Mejorar la velocidad de carga, reducir el tiempo de carga																					
La analítica web	Web analytics	Herramientas para medir el tráfico y comportamiento del usuario.	Implementar Google Analytics, analizar métricas de tráfico																					
El diseño minimalista	Minimalist design	Estilo que utiliza elementos simples y limpios.	Aplicar diseño minimalista, un sitio web con diseño minimalista																					
El encabezado H1	H1 Header	Título principal de una página, importante para SEO.	Usar encabezados H1 correctamente, optimizar encabezados para búsqueda																					
El analgésico	Analgesic	Medicamento que alivia el dolor.	Tomar un analgésico para el dolor de cabeza, analgésicos suaves																					
El antiinflamatorio	Anti-inflammatory	Medicamento que reduce la inflamación y el dolor.	Usar un antiinflamatorio para lesiones, prescribir antiinflamatorios no esteroides																					
El antibiótico	Antibiotic	Medicamento que combate infecciones bacterianas.	Recetar un antibiótico para una infección, terminar el tratamiento de antibióticos																					
El antidepresivo	Antidepressant	Medicamento utilizado para tratar la depresión.	Comenzar un tratamiento con antidepresivos, efectos secundarios de los antidepresivos																					
El antihistamínico	Antihistamine	Medicamento que alivia alergias bloqueando la histamina.	Usar antihistamínicos para alergias, antihistamínicos de venta libre																					
El anticoagulante	Anticoagulant	Medicamento que previene la formación de coágulos sanguíneos.	Anticoagulantes para prevenir trombosis, monitorear la dosis de anticoagulantes																					
El antipsicótico	Antipsychotic	Medicamento usado para tratar trastornos psicóticos.	Antipsicóticos para esquizofrenia, efectos de los antipsicóticos																					
